129806irrealismo     O casamento do Bot47ion                 1279.00     nosabo                                                                                              
200602cubismo        A depressao         Rafael Dias         600.00      nao vai ter                                                                                         
198709gamer          VICTORY ROYALE      Vinicius games      9999        qliuwsgdf
165711tinta a oleo   A mosca             Mosquito            2000        adadkljhawldkjhalwjehdajhsfdhasdjkh                                                                 
089607realismo       uma galinha         Pietro P            60          154alwiudgalijhwdgiu�lasdgsdgsdgsd                                                                  
199902noob           Brawl Stars         cookie              0.1         cdw                                                                                                 
059805realismo       homenagem           edson               700         urlPOtente                                                                                          
043507ovo            egfgcracvkers       bot36               200         asklutdaiuwhduakd                                                                                   
050612rabisco        a lagarta           leonardo            764         sjkadcghsadfl                                                                                       
040308alsdjg         alisydg             akjgsd              1           aqsuild                                                                                             
199908cartoon        shreck o ogro       chich               500         jhgdfjhg                                                                                            
198711lindo          palpites do zap     ritoGames           99999       https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSh-MghRsvQxrNcEjI2Sh8h0983oL-tSXMKGgQDylzsSA&s
